amfi_code,scheme_name,fund_house,scheme_type,scheme_category,latest_nav,nav_date,api_fetch_timestamp
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,104.7025,2026-01-06,2026-06-02 16:49:59.929881
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,103.0948,2026-01-06,2026-06-02 16:50:00.343732
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,97.1944,2026-01-06,2026-06-02 16:50:00.649977
119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,6156.7532,2026-01-06,2026-06-02 16:50:01.061040
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,246.9814,2026-01-06,2026-06-02 16:50:01.427963
